sample_col,date,influent_sample_time,effluent_sample_time,timestamp,influent_flow,influent_ph,conductivity,influent_f,pacl_dose,defluor_dose,pacl_tank_ph,defluor_tank_ph,recycle_flow,waste_flow,pam_dose,effluent_f,effluent_f_new,effluent_f_old,effluent_f_source,effluent_quality_flag,pacl_dose_calc_ppm,pacl_pump_ml_min,defluor_pump_ml_min,defluor_active_ppm,defluor_meter_l_min,magnetic_dose_kg,remark_raw,defluor_agent_type,is_over_limit_remark,is_low_f_influent,is_magnetic_run
5,2026-04-17,,,,17.7,8.0,,11.5,,,7.5,6.5,,,,0.6,,0.6,old_meter,estimated_or_fault,40.0,,,,,,除氟剂A,A,False,False,False
6,2026-04-21,,,,17.7,8.0,,20.9,,,11.5,6.5,,,,1.2,,1.2,old_meter,ok,40.0,,,,,,除氟剂A,A,False,False,False
7,2026-04-24,,,,17.7,8.0,,25.2,80.0,,11.5,6.5,,,,2.0,,2.0,old_meter,ok,,,,270.0,,,除氟剂A，超标,A,True,False,False
8,2026-04-26,,,,17.0,8.0,,21.8,101.647058823529,1.6235294117647059,7.5,6.5,,,,1.65,,1.65,old_meter,estimated_or_fault,,240.0,460.0,263.011764705882,,,除氟剂A,A,False,False,False
9,2026-04-27,,,,17.0,8.0,,9.8,0.0,,7.5,6.5,,,,1.47,,1.47,old_meter,estimated_or_fault,,,,,0.335,,除氟剂A,A,False,False,False
10,2026-04-28,,,,17.0,7.57,,9.4,0.0,,7.5,6.5,,,3.88235294117647,2.17,,2.17,old_meter,ok,,,,150.0,,,除氟剂A，超标,A,True,False,False
11,2026-04-29,2026-04-29T14:40,2026-04-29T16:20,2026-04-29T16:20,16.9,7.08,1689.0,11.48,0.0,1.5088757396449703,7.5,6.5,,,3.90532544378698,1.06,,1.06,old_meter,ok,,,425.0,244.437869822485,,,除氟剂A,A,False,False,False
12,2026-05-04,2026-05-04T14:40,2026-05-04T15:50,2026-05-04T15:50,17.0,,1535.0,15.6,78.3529411764706,1.6941176470588237,6.25,6.5,,,3.88235294117647,0.92,,0.92,old_meter,ok,,185.0,480.0,274.447058823529,,19.0,除氟剂A,A,False,False,False
13,2026-05-05,2026-05-05T14:50,2026-05-05T16:20,2026-05-05T16:20,17.3,8.36,1366.7,18.0,0.0,1.439306358381503,8.5,6.5,,,3.8150289017341,1.66,,1.66,old_meter,ambiguous_parentheses,,,415.0,233.167630057803,,,除氟剂A，超标,A,True,False,False
14,2026-05-06,2026-05-06T09:00,2026-05-06T10:20,2026-05-06T10:20,17.5,8.4,1318.6,18.0,0.0,1.5085714285714285,8.5,6.5,,,3.77142857142857,1.59,,1.59,old_meter,ok,,,440.0,244.388571428571,,0.1,除氟剂A，超标,A,True,False,False
15,2026-05-06,2026-05-06T15:05,2026-05-06T16:15,2026-05-06T16:15,17.5,8.4,1327.3,18.0,0.0,1.7828571428571427,8.5,6.5,,,3.77142857142857,1.39,,1.39,old_meter,ok,,,520.0,288.822857142857,,,除氟剂A,A,False,False,False
16,2026-05-07,2026-05-07T15:00,2026-05-07T16:30,2026-05-07T16:30,16.5,8.3,1511.8,15.4,0.0,1.8909090909090909,8.5,6.5,,,4.0,1.63,,1.63,old_meter,ok,,,520.0,306.327272727273,,,除氟剂A，超标,A,True,False,False
17,2026-05-08,2026-05-08T16:40,2026-05-08T18:00,2026-05-08T18:00,17.3,8.3,1726.4,13.6,29.1329479768786,1.8034682080924858,6.5,6.5,,,3.8150289017341,1.71,,1.71,old_meter,ok,,70.0,520.0,292.161849710983,,,除氟剂A，超标,A,True,False,False
18,2026-05-09,2026-05-09T16:35,2026-05-09T17:55,2026-05-09T17:55,17.1,7.5,1751.0,12.3,0.0,4.631578947368421,7.5,6.25,0.33,2.55,3.85964912280702,0.72,,0.72,old_meter,ok,,,1320.0,750.315789473684,,,除氟剂A,A,False,False,False
19,2026-05-10,2026-05-10T10:00,2026-05-10T11:20,2026-05-10T11:20,17.3,6.62,1785.1,10.0,0.0,3.468208092485549,7.5,6.5,0.35,2.55,3.8150289017341,0.64,,0.64,old_meter,ok,,,1000.0,561.849710982659,1.25,0.5,除氟剂A,A,False,False,False
20,2026-05-10,2026-05-10T14:30,2026-05-10T15:50,2026-05-10T15:50,16.6,5.8,1834.2,4.0,0.0,1.0843373493975903,6.5,6.5,0.35,2.55,3.97590361445783,1.15,,1.15,old_meter,ok,,,300.0,175.66265060241,0.4,,低氟进水，除氟剂A,A,False,True,False
21,2026-05-11,2026-05-11T14:20,2026-05-11T15:40,2026-05-11T15:40,17.3,7.8,1776.0,10.5,0.0,3.121387283236994,7.4,6.199999999999999,0.36,2.52,3.8150289017341,1.0,,1.0,old_meter,ok,,,900.0,505.664739884393,,,除氟剂A,A,False,False,False
22,2026-05-13,2026-05-13T09:50,2026-05-13T11:10,2026-05-13T11:10,16.6,8.3,1918.0,11.5,0.0,2.2409638554216866,7.8500000000000005,6.4,0.3,2.5,3.97590361445783,1.05,,1.05,old_meter,ok,,,620.0,363.036144578313,0.86,,除氟剂A,A,False,False,False
